Id,Time[ns],0:UART: RX/TX
691,9440032000.00,c
692,9440118800.00,a
693,9440205400.00,n
694,9440292000.00,n
695,9440378800.00,i
696,9440465400.00,n
697,9440552000.00,g
698,9440638800.00,[20]
699,9440725400.00,b
700,9440812200.00,u
701,9440898800.00,s
702,9440985400.00,[20]
703,9441072200.00,0
704,9441158800.00,[20]
705,9441245400.00,f
706,9441332200.00,o
707,9441418800.00,r
708,9441505600.00,[20]
709,9441592200.00,d
710,9441678800.00,e
711,9441765600.00,v
712,9441852200.00,i
713,9441939000.00,c
714,9442025600.00,e
715,9442112200.00,s
716,9442199000.00,.
717,9442285600.00,.
718,9442372200.00,.
719,9442459000.00,[20]
720,10575923800.00,1
721,10576010600.00,[20]
722,10576097200.00,U
723,10576184000.00,S
724,10576270600.00,B
725,10576357200.00,[20]
726,10576444000.00,D
727,10576530600.00,e
728,10576617200.00,v
729,10576704000.00,i
730,10576790600.00,c
731,10576877400.00,e
732,10576964000.00,(
733,10577050600.00,s
734,10577137400.00,)
735,10577224000.00,[20]
736,10577310800.00,f
737,10577397400.00,o
738,10577484000.00,u
739,10577570800.00,n
740,10577657400.00,d
741,10577744000.00,[0D]
742,10577830800.00,[0A]
743,10577917400.00,[20]
744,10578004200.00,[20]
745,10578090800.00,[20]
746,10578177400.00,[20]
747,10578264200.00,[20]
748,10578350800.00,[20]
749,10578437600.00,[20]
750,10578524200.00,s
751,10578610800.00,c
752,10578697600.00,a
753,10578784200.00,n
754,10578870800.00,n
755,10578957600.00,i
756,10579044200.00,n
757,10579131000.00,g
758,10579217600.00,[20]
759,10579304200.00,u
760,10579391000.00,s
761,10579477600.00,b
762,10579564400.00,[20]
763,10579651000.00,f
764,10579737600.00,o
765,10579824400.00,r
766,10579911000.00,[20]
767,10579997600.00,s
768,10580084400.00,t
769,10580171000.00,o
770,10580257800.00,r
771,10580344400.00,a
772,10580431000.00,g
773,10580517800.00,e
774,10580604400.00,[20]
775,10580691000.00,d
776,10580777800.00,e
777,10580864400.00,v
778,10580951200.00,i
779,10581037800.00,c
780,10581124400.00,e
781,10581211200.00,s
782,10581297800.00,.
783,10581384600.00,.
784,10581471200.00,.
785,10581557800.00,[20]
786,10581644600.00,0
787,10581731200.00,[20]
788,10581817800.00,S
789,10581904600.00,t
