; CSV, generated by libsigrok4DSL 0.2.0 on Sun May 11 19:32:02 2025
; Channels (16/16)
; Sample rate: 5 MHz
; Sample count: 407.390720 M Samples
Time(s), 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
7.4847506,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4847592,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4847678,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.48482,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4848286,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.484846,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4848546,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.484872,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4848892,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4849066,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.484924,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4849326,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4849412,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.48495,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4849586,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.484976,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4849846,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4849932,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4850106,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4850192,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.485028,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.485054,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4850712,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.48508,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4850972,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.485106,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4851146,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4851232,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.485132,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4851406,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4851492,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4851666,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.485184,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4851926,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4852012,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.48521,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4852272,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4852446,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4852706,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4852792,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.485288,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4853052,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.485314,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4853226,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4853486,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.485366,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4853746,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4854266,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4854354,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4854526,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4932568,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4932654,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4933002,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4933174,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4933262,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4933348,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4933434,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4933522,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4933694,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4933782,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4933868,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4934042,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4934128,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4934214,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4934302,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4934388,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4934474,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4934562,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4934736,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
